Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Diversity Spotlight (US Headquarters Only),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Program,School Type,School Method,Number of Enrollments,Number of Founders (Alumni),Number of Alumni,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events
Twitter,https://www.crunchbase.com/organization/twitter,"Blogging Platforms, Messaging, SMS, Social Media","San Francisco, California, United States",Twitter is a social networking platform that allows its users to send and read micro-blogs of up to 280-characters known as tweets.,1,"San Francisco Bay Area, West Coast, Western US",,$1B to $10B,Active,2006-03-21,day,2013-11-07,day,,,For Profit,http://www.twitter.com,,,8,10,2,1,4,4,,,,,,,,,,"Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications",6,"Biz Stone, Evan Williams, Jack Dorsey, Jeremy LaTrasse, Noah Glass, Tomas Halgas",5001-10000,15,IPO,2022-06-01,,,,Post-IPO Equity,,,,Post-IPO Equity,11139191511,USD,11139191511,12869191511,USD,12869191511,"Andreessen Horowitz, Binance, Fidelity Management and Research Company, Insight Partners, IVP",10,52,67,Made Acquisitions,,,,,,,,,,,,Public,2013-11-07,,,1820000000,USD,1820000000,24565826402,USD,24565826402,TWTR,https://www.crunchbase.com/ipo/twitter-ipo--ca07c959,NYSE - New York Stock Exchange,2022-10-28,2023-01-13,78
FTX,https://www.crunchbase.com/organization/ftx-exchange,"Cryptocurrency, Financial Exchanges, Financial Services, FinTech, Trading Platform","Nassau, New Providence, Bahamas",FTX Exchange is a cryptocurrency exchange company that develops a mobile trading platform.,2,,,,Active,2019-01-01,year,,,,,For Profit,https://ftx.com,,,22,22,5,3,1,1,,,,,,,,,,"Financial Services, Lending and Investments, Payments, Software",2,"Gary Wang, Sam Bankman-Fried",501-1000,7,,2022-03-21,,,,Venture - Series Unknown,,,,Venture - Series Unknown,1828690000,USD,1828690000,1828690000,USD,1828690000,"Binance, Temasek Holdings, Sequoia Capital, Insight Partners, IVP",6,39,8,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,2022-12-12,,
Credit Suisse,https://www.crunchbase.com/organization/credit-suisse,"Banking, Financial Services, Personal Branding, Wealth Management","Zürich, Zurich, Switzerland",Credit Suisse Group is a financial services company that advises clients in all aspects of finance.,3,,,$1B to $10B,Active,1856-07-05,day,2003-03-14,day,,,For Profit,http://www.credit-suisse.com,Investment Bank,"Early Stage Venture, Late Stage Venture, Private Equity",129,152,63,7,59,59,,,,,,,,,,"Financial Services, Lending and Investments, Sales and Marketing",1,Jobst Klemme,10001+,1,IPO,2022-11-24,1760000000,CHF,1865220837,Post-IPO Equity,1760000000,CHF,1865220837,Post-IPO Equity,1760000000,CHF,1865220838,1760000000,CHF,1865220838,Saudi National Bank,1,1,1,Made Acquisitions,,,,,,,,,,,,Public,2003-03-14,,,,,,,,,CSGN,https://www.crunchbase.com/ipo/credit-suisse-ipo--c430e249,SWX - SIX Swiss Exchange,2022-10-27,2022-10-27,32
NVIDIA,https://www.crunchbase.com/organization/nvidia,"Artificial Intelligence, GPU, Hardware, Software, Virtual Reality","Santa Clara, California, United States","NVIDIA is a computing platform company operating at the intersection of graphics, HPC, and AI.",4,"San Francisco Bay Area, Silicon Valley, West Coast",,$10B+,Active,1993-01-01,year,1999-01-29,day,,,For Profit,https://www.nvidia.com,,,25,32,10,3,4,4,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Hardware, Science and Engineering, Software",3,"Chris Malachowsky, Curtis Priem, Jensen Huang",10001+,5,IPO,2022-08-09,65000000,USD,65000000,Post-IPO Equity,65000000,USD,65000000,Post-IPO Equity,75000000,USD,75000000,100000000,USD,100000000,"Sequoia Capital, ARK Investment Management, SoftBank Vision Fund, DARPA, TriplePoint Capital",4,6,21,Made Acquisitions,,,,,,,,,,,,Public,1999-01-29,,,,,,,,,NVDA,https://www.crunchbase.com/ipo/nvidia-ipo--984a8497,NASDAQ,2020-07-09,,140
Amazon,https://www.crunchbase.com/organization/amazon,"Crowdsourcing, Delivery, E-Commerce, Retail","Seattle, Washington, United States","Amazon is an e-commerce website for consumers, sellers, and content creators.",5,"Greater Seattle Area, West Coast, Western US",,$10B+,Active,1994-07-05,day,1997-05-15,day,,,For Profit,http://amazon.com,,,89,123,61,13,29,29,,,,,,,,,,"Administrative Services, Commerce and Shopping, Other",1,Jeff Bezos,10001+,3,IPO,2023-01-03,8000000000,USD,8000000000,Post-IPO Debt,100000000,USD,100000000,Post-IPO Equity,108000000,USD,108000000,8108000000,USD,8108000000,"Kleiner Perkins, AOL, Mizuho Bank, DBS Bank",1,4,97,Made Acquisitions,,,,,,,,,,,,Public,1997-05-15,,,54000000,USD,54000000,438000000,USD,438000000,AMZN,https://www.crunchbase.com/ipo/amazon-ipo--be4580aa,NASDAQ,2022-12-07,2023-01-10,111
Meta,https://www.crunchbase.com/organization/facebook,"Augmented Reality, Social Media, Social Network, Virtual Reality","Menlo Park, California, United States","Meta is a social technology company that enables people to connect, find communities, and grow businesses.",6,"San Francisco Bay Area, Silicon Valley, West Coast",,$10B+,Active,2004-02-04,day,2012-05-18,day,,,For Profit,https://meta.com,,,44,49,22,5,1,1,,,,,,,,,,"Hardware, Internet Services, Media and Entertainment, Software",5,"Andrew McCollum, Chris Hughes, Dustin Moskovitz, Eduardo Saverin, Mark Zuckerberg",10001+,17,IPO,2022-08-04,10000000000,USD,10000000000,Post-IPO Debt,13787117488,USD,13787117488,Post-IPO Equity,15902817488,USD,15902817488,26122817488,USD,26122817488,"PayPal, Microsoft, Accel, Tiger Global Management, Global Founders Capital",12,26,101,Made Acquisitions,,,,,,,,,,,,Public,2012-05-18,,,18400000000,USD,18400000000,104000000000,USD,104000000000,META,https://www.crunchbase.com/ipo/facebook-ipo--8fd30bb3,NASDAQ,2022-11-17,2023-01-12,241
OpenAI,https://www.crunchbase.com/organization/openai,"Artificial Intelligence, Information Technology, Machine Learning","San Francisco, California, United States",OpenAI is an AI research and deployment company that aims to ensure that artificial general intelligence benefits all of humanity.,7,"San Francisco Bay Area, West Coast, Western US",,$10M to $50M,Active,2015-12-11,day,,,,,For Profit,https://www.openai.com,Micro VC,Early Stage Venture,2,2,1,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",7,"Carlos Virella, Elon Musk, Greg Brockman, Ilya Sutskever, James Greene, Sam Altman, Wojciech Zaremba",101-250,5,,2021-01-01,,,,Venture - Series Unknown,,,,Venture - Series Unknown,1010120000,USD,1010120000,1010120000,USD,1010120000,"Microsoft, Andreessen Horowitz, Sequoia Capital, Matthew Brown Companies, Y Combinator",4,10,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,3
Apple,https://www.crunchbase.com/organization/apple,"Consumer Electronics, Hardware, Mobile Devices, Operating Systems, Wearables","Cupertino, California, United States","Apple is a multinational corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.",8,"San Francisco Bay Area, Silicon Valley, West Coast",,$10B+,Active,1976-04-01,day,1980-12-12,day,,,For Profit,http://www.apple.com,,,26,28,19,2,12,12,,,,,,,,1,2,"Consumer Electronics, Hardware, Mobile, Platforms, Software",3,"Ron Wayne, Steve Jobs, Steve Wozniak",10001+,8,IPO,2023-01-22,1200,USD,1200,Series A,1200,USD,1200,Series A,1180231200,USD,1180231200,6180231200,USD,6180231200,"Yakeyah Jones, Berkshire Hathaway, Microsoft, Sequoia Capital, Matrix Partners",4,8,128,Made Acquisitions,,,,,,,,,,,,Public,1980-12-12,,,101200000,USD,101200000,1192737304,USD,1192737304,AAPL,https://www.crunchbase.com/ipo/apple-ipo--ce1172dc,NASDAQ,2023-01-03,2022-08-16,43
ConsenSys,https://www.crunchbase.com/organization/consensus-systems,"Blockchain, Cryptocurrency, FinTech, Mobile, Software","Brooklyn, New York, United States",ConsenSys builds Ethereum blockchain infrastructure and applications ranging from developer tools to enterprise solutions.,9,"Greater New York Area, East Coast, Northeastern US",,$50M to $100M,Active,2014-01-01,year,,,,,For Profit,http://www.consensys.net,Micro VC,,41,49,14,1,3,3,,,,,,,,,,"Financial Services, Mobile, Other, Payments, Software",4,"Chris Lewicki, Donnie Benjamin, Joseph Lubin, Kishore Atreya",501-1000,8,Late Stage Venture,2022-10-18,1670000,USD,1670000,Secondary Market,450000000,USD,450000000,Series D,660000000,USD,660000000,726670000,USD,726670000,"Animoca Brands, Protocol Labs, Microsoft, Temasek Holdings, HSBC",5,49,7,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,2023-01-10,26
European Bank for Reconstruction and Development,https://www.crunchbase.com/organization/european-bank-for-reconstruction-and-development-ebrd,"Banking, Finance, Financial Services, Venture Capital","London, England, United Kingdom",European Bank for Reconstruction and Development is an investing firm.,10,,,$1B to $10B,Active,1991-01-01,year,,,,,,http://www.ebrd.com,"Government Office, Investment Bank","Early Stage Venture, Late Stage Venture, Private Equity",121,142,101,3,29,29,,,,,,,,,,"Financial Services, Lending and Investments",1,Jacques Attali,1001-5000,1,,2020-02-14,20000000,EUR,21661009,Debt Financing,,,,,,,,20000000,EUR,21661010,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,1
